LOG CORPUS FREEZE - manifest (Step 1, taken BEFORE any search)
root  : C:/Users/Admin/AppData/Roaming/Code/logs
scope : Claude VSCode.log, Git.log, agentSessionsOutput.log
method: size = Python open(p,"rb") then seek(0,2).tell(); NOT wc -c, NOT ls -l
why   : the corpus records every classified Bash command verbatim, so every search
        injects its own term into the substrate. These byte sizes are the CUT: all
        later extraction reads only the first <bytes> bytes of each file.
taken : 2026-09-05 08:16:30 Asia/Bangkok

relative path                                                                 bytes  last write           git hash-object
20260904T184723/window2/exthost/vscode.git/Git.log                            25314  2026-09-04 20:16:09  509cba1809b5ff7ae664116e24904571c3d44dbb
20260904T184723/window2/output_20260904T184725/agentSessionsOutput.log            0  2026-09-04 18:47:26  e69de29bb2d1d6434b8b29ae775ad8c2e48c5391
20260904T184723/window2/output_20260904T184737/agentSessionsOutput.log            0  2026-09-04 18:47:37  e69de29bb2d1d6434b8b29ae775ad8c2e48c5391
20260904T184723/window3/exthost/Anthropic.claude-code/Claude VSCode.log     2035676  2026-09-04 23:42:49  327623c7412ebe1743bd6b7867c07199c2b8a407
20260904T184723/window3/exthost/vscode.git/Git.log                            30988  2026-09-04 23:21:13  87fa1a7e32dc457258390084ab0c26ab7e37eebc
20260904T184723/window3/output_20260904T185010/agentSessionsOutput.log            0  2026-09-04 18:50:10  e69de29bb2d1d6434b8b29ae775ad8c2e48c5391
20260904T184723/window3/output_20260904T185013/agentSessionsOutput.log            0  2026-09-04 18:50:13  e69de29bb2d1d6434b8b29ae775ad8c2e48c5391
20260904T184723/window4/exthost/Anthropic.claude-code/Claude VSCode.log     2082393  2026-09-04 23:42:30  0275e527fbd6440cbca61c494489de8cd8c913d2
20260904T184723/window4/exthost/vscode.git/Git.log                            73755  2026-09-04 23:33:41  06785479a66a2292f22397166f43c563ce1d62aa
20260904T184723/window4/output_20260904T201628/agentSessionsOutput.log            0  2026-09-04 20:16:29  e69de29bb2d1d6434b8b29ae775ad8c2e48c5391
20260904T184723/window4/output_20260904T201642/agentSessionsOutput.log            0  2026-09-04 20:16:42  e69de29bb2d1d6434b8b29ae775ad8c2e48c5391
20260904T234313/window1/exthost/Anthropic.claude-code/Claude VSCode.log      201977  2026-09-04 23:48:09  a2e0261ce99b1d580ec2c89337450eb8c3170e50
20260904T234313/window1/exthost/vscode.git/Git.log                             6913  2026-09-04 23:43:54  4e17840037bff04a8e54bf05dfe5a905d0a18fdb
20260904T234313/window1/output_20260904T234315/agentSessionsOutput.log            0  2026-09-04 23:43:15  e69de29bb2d1d6434b8b29ae775ad8c2e48c5391
20260904T234313/window2/exthost/Anthropic.claude-code/Claude VSCode.log      193154  2026-09-04 23:48:09  f2fa77e786b608031d599b281a5ed2d2c6a4f200
20260904T234313/window2/exthost/vscode.git/Git.log                             6790  2026-09-04 23:43:56  c5cc2e5cecd7a1ebc9c8e4d74157120d85265fe1
20260904T234313/window2/output_20260904T234326/agentSessionsOutput.log            0  2026-09-04 23:43:26  e69de29bb2d1d6434b8b29ae775ad8c2e48c5391
20260904T234313/window2/output_20260904T234333/agentSessionsOutput.log            0  2026-09-04 23:43:33  e69de29bb2d1d6434b8b29ae775ad8c2e48c5391
20260905T075944/window1/exthost/Anthropic.claude-code/Claude VSCode.log      487162  2026-09-05 08:16:30  5b0d3fd9f5f2815526453c0fe767945f09bcc146
20260905T075944/window1/exthost/vscode.git/Git.log                             8154  2026-09-05 08:05:23  732e130b13c6ba6b2e8e38e19dcba030ec474656
20260905T075944/window1/output_20260905T075947/agentSessionsOutput.log            0  2026-09-05 07:59:47  e69de29bb2d1d6434b8b29ae775ad8c2e48c5391
20260905T075944/window2/exthost/Anthropic.claude-code/Claude VSCode.log      396540  2026-09-05 08:16:28  4fa62869ca90cf4ff20d8e9f8421173a7b648139
20260905T075944/window2/exthost/vscode.git/Git.log                             7503  2026-09-05 08:12:36  8a50bc955cbc05dfef5a3c194fe5d7d7fe61a0c9
20260905T075944/window2/output_20260905T075947/agentSessionsOutput.log            0  2026-09-05 07:59:47  e69de29bb2d1d6434b8b29ae775ad8c2e48c5391

files      : 40
total bytes: 9832973
